evento,descricao,similar_event,descricao_similar,similarity
GDT 1 - Construção de Eventos PET - ENAPET 2020,"Que, após aprovação na Assembleia Geral do XXV ENAPET, a Diretoria da CENAPET adicione nas Diretrizes de Organização de Eventos de 2021, a importância da realização de espaços para as comissões nacionais (CENAPET, MobilizaPET, DivulgaPET, DiversificaPET e outras comissões que podem ser criadas) nos encontros regionais e nacionais. Esses espaços devem conter o maior alcance dos participantes durante os eventos e a participação das/os integrantes das comissões pode ocorrer de forma remota ou presencial. Aprovado integralmente na assembleia assíncrona.",GDT 6 - ENAPET 2019,"(Encaminhamento 6.11): Que após aprovação na Assembleia Geral do XXIV ENAPET, as comissões organizadoras dos eventos locais, regionais e nacional disponibilizem explicações de conceitos e metodologias dos espaços deliberativos antes e/ou durante o evento, a fim de elucidar eventuais dúvidas e otimizar esses espaços (Aprovado por contraste);",0.23453449598305895
GDT 6 - ENAPET 2019,"(Encaminhamento 6.11): Que após aprovação na Assembleia Geral do XXIV ENAPET, as comissões organizadoras dos eventos locais, regionais e nacional disponibilizem explicações de conceitos e metodologias dos espaços deliberativos antes e/ou durante o evento, a fim de elucidar eventuais dúvidas e otimizar esses espaços (Aprovado por contraste);",GDT 1 - Construção de Eventos PET - ENAPET 2020,"Que, após aprovação na Assembleia Geral do XXV ENAPET, a Diretoria da CENAPET adicione nas Diretrizes de Organização de Eventos de 2021, a importância da realização de espaços para as comissões nacionais (CENAPET, MobilizaPET, DivulgaPET, DiversificaPET e outras comissões que podem ser criadas) nos encontros regionais e nacionais. Esses espaços devem conter o maior alcance dos participantes durante os eventos e a participação das/os integrantes das comissões pode ocorrer de forma remota ou presencial. Aprovado integralmente na assembleia assíncrona.",0.23453449598305895
GD 11 - ENAPET 2018,"Que as comissões organizadoras dos eventos PET nacionais e regionais, a partir de 2019, disponibilizem nos canais de comunicação oficial do evento (site, redes sociais, e-mail, etc.) a relação dos inscritos e a prestação de contas, em até três meses a finalização do evento. Por fim, que a diretoria da CENAPET inclua tais ações nas normativas dos encontros regionais e nacional do PET.",GDT 6 - ENAPET 2019,"(Encaminhamento 6.2): Que a partir do XXIV ENAPET a comissão organizadora dos eventos regionais inclua na programação do evento os Encontros de Tutores, Encontros de Discentes e de Representantes Estaduais Discentes. (Aprovado por contraste);",0.2340359859584674
GDT 12 - ENAPET 2018,"Que a diretoria da CENAPET solicite aos CLAAs que façam valer a legislação que garanta a participação de petianos (discentes), com direito deliberativo, no processo seletivo de tutores para os respectivos grupos PET, logo após o ENAPET 2018.",GDT 7 - ENAPET 2019,"Que, após a Assembleia Geral do XXIV ENAPET, o CLAA garanta a participação discente nos processos seletivos para discentes e tutores dos grupos PET, garantindo a horizontalidade dos processos seletivos. (Aprovado como sugestão por contraste);",0.22991351626378226
Encontro de discentes - GD 3 - ENAPET 2020,Que após o XXV ENAPET os grupos PET elaborem um regimento interno para coordenar as atividades do seu grupo.,GDT 22 + 23:Regimentos Internos: como os grupos PE - ENAPET 2022,"Encaminhamento 1: Que os grupos PET, após o ENAPET 2022, e em seus
próximos processos de seleção de novos integrantes, insiram a leitura do MOB e/ou
regimento interno do grupo como requisito obrigatório no processo seletivo, sem que
isto acarrete, no entanto, na desclassificação.
109 pessoas presentes - Suprimido 75%",0.22751160600440107
GDT 12 - ENAPET 2018,"Que o CLAA fiscalize e proíba processos seletivos segregacionistas de discentes, como prova de idiomas e métodos avaliativos parciais que limitem a pluralidade do grupo.",GDT 7 - ENAPET 2019,"Que, após a Assembleia Geral do XXIV ENAPET, o CLAA garanta a participação discente nos processos seletivos para discentes e tutores dos grupos PET, garantindo a horizontalidade dos processos seletivos. (Aprovado como sugestão por contraste);",0.2257068841045931
GDT 8 - ENAPET 2019,"Sugestão: Que os Grupos PET, por meio dos representantes do CLAA, solicitem às Pró-reitorias de Graduação, ou similares, da IES, após o XXIV ENAPET, a criação de uma aba dentro do site da IES para inserção dos projetos PET bem como informações de cada Grupo que contemple a tríade, respeitando o princípio constitucional, previsto artigo 207, da indissociabilidade entre a pesquisa, ensino e extensão.",GT 10 - ENAPET 2018,"Que após a Assembleia Geral do XXIII ENAPET, os representantes da CENAPET solicitem ao MEC, por meio de reuniões e ofícios, a possibilidade de alteração dos projetos de criação dos grupos PET Curso quanto à sua matriz para um conjunto de cursos de graduação conforme a abrangência dos grupos PET Interdisciplinares.",0.22227867597225023
GT 10 - ENAPET 2018,"Que após a Assembleia Geral do XXIII ENAPET, os representantes da CENAPET solicitem ao MEC, por meio de reuniões e ofícios, a possibilidade de alteração dos projetos de criação dos grupos PET Curso quanto à sua matriz para um conjunto de cursos de graduação conforme a abrangência dos grupos PET Interdisciplinares.",GDT 8 - ENAPET 2019,"Sugestão: Que os Grupos PET, por meio dos representantes do CLAA, solicitem às Pró-reitorias de Graduação, ou similares, da IES, após o XXIV ENAPET, a criação de uma aba dentro do site da IES para inserção dos projetos PET bem como informações de cada Grupo que contemple a tríade, respeitando o princípio constitucional, previsto artigo 207, da indissociabilidade entre a pesquisa, ensino e extensão.",0.22227867597225023
GDT 1 - ENEPET 2020,"Que os grupos PET registrem as atividades de extensão do PET na Pró-Reitoria de Extensão, assim como as ações de pesquisa na Pró-Reitoria de Pesquisa;",Encontro de discentes - ENAPET 2022,"Encaminhamento 1: Que a diretoria da CENAPET após a Assembleia Geral do XXVII ENAPET solicite ao FNDE, através de um ofício, a implantação de um recurso de capital e envie ao MEC, assim 9 como a expansão do uso do custeio para bens duráveis e materiais perecíveis, desde que provado seu uso para fins de pesquisa e atividades de extensão. 56 pessoas presentes - Aprovado 55%",0.2203937665735813
Encontro de discentes - ENAPET 2022,"Encaminhamento 1: Que a diretoria da CENAPET após a Assembleia Geral do XXVII ENAPET solicite ao FNDE, através de um ofício, a implantação de um recurso de capital e envie ao MEC, assim 9 como a expansão do uso do custeio para bens duráveis e materiais perecíveis, desde que provado seu uso para fins de pesquisa e atividades de extensão. 56 pessoas presentes - Aprovado 55%",GDT 1 - ENEPET 2020,"Que os grupos PET registrem as atividades de extensão do PET na Pró-Reitoria de Extensão, assim como as ações de pesquisa na Pró-Reitoria de Pesquisa;",0.2203937665735813
Encontro de tutores - ENAPET 2022,"Encaminhamento 6: Que a diretoria da CENAPET, logo após o encerramento da assembleia do ENAPET 2022, solicite ao MEC abertura de editais para a criação de novos grupos PETs. 158 pessoas presentes - Aprovado com 56% (48 votos), suspensão de 24% ( 21 votos) e 20% de abstenção (17 votos)",GT 4 - ENAPET 2018,"Que a Diretoria da CENAPET encaminhe ao MEC uma carta requisitando a abertura de novos editais PET em 2019, garantindo a expansão do Programa.",0.21980644224379803
GT 4 - ENAPET 2018,"Que a Diretoria da CENAPET encaminhe ao MEC uma carta requisitando a abertura de novos editais PET em 2019, garantindo a expansão do Programa.",Encontro de tutores - ENAPET 2022,"Encaminhamento 6: Que a diretoria da CENAPET, logo após o encerramento da assembleia do ENAPET 2022, solicite ao MEC abertura de editais para a criação de novos grupos PETs. 158 pessoas presentes - Aprovado com 56% (48 votos), suspensão de 24% ( 21 votos) e 20% de abstenção (17 votos)",0.21980644224379803
GDT 1 - Construção de Eventos PET - ENAPET 2020,"Sugere-se que a partir do ENAPET 2020, as comissões organizadoras dos eventos regionais e nacionais do PET utilizem plataformas eletrônicas tais como TELEGRAM, Google Forms, Straw Poll, etc. eventos.",GD 11 - ENAPET 2018,"Que as comissões organizadoras dos eventos PET nacionais e regionais, a partir de 2019, disponibilizem nos canais de comunicação oficial do evento (site, redes sociais, e-mail, etc.) a relação dos inscritos e a prestação de contas, em até três meses a finalização do evento. Por fim, que a diretoria da CENAPET inclua tais ações nas normativas dos encontros regionais e nacional do PET.",0.21762833645517177
GT 2 - ENAPET 2018,"Que a comissão organizadora do ENAPET tenha compromisso de convidar, formalmente, representantes da SESu/MEC para comparecimento ao evento após o término do XXIII ENAPET.",GDT 6 - ENAPET 2019,"(Encaminhamento 6.2): Que a partir do XXIV ENAPET a comissão organizadora dos eventos regionais inclua na programação do evento os Encontros de Tutores, Encontros de Discentes e de Representantes Estaduais Discentes. (Aprovado por contraste);",0.21681248409653897
GDT3 - ENAPET 2019,"(Encaminhamento 3.7)
Assegurar nos Planejamentos dos Grupos PET ao menos uma atividade que contemple
como temática principal a Diversidade acompanhado e avaliado pelo CLAA no
relatório anual. Respaldado pela Portaria nº 343, de 28 de abril de 2013. (Aprovado
como sugestão por contraste)",GT 6 - ENAPET 2018,"De acordo com o item VIII do artigo 2º da portaria nº 976/2010, incluído pela portaria nº 343/2013 do MEC sobre o PET é obrigatório ao programa “contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero”. Dessa forma, cabe ao CLAA garantir a inclusão de ao menos uma atividade coletiva que trabalhe questões de diversidade (gênero e orientação sexual, relações étnico-raciais, classe, religião, estética, deficiência física e intelectual, regionalismo/xenofobia, etc) no Planejamento Anual de Atividades, a partir de 2019, bem como fiscalizar a realização desta no Relatório Anual de Atividades.",0.2162904846820891
GT 6 - ENAPET 2018,"Que os grupos PET, a partir da divulgação da ata do XXIII ENAPET, promovam espaços de discussão sobre a implementação de políticas de ações afirmativas para pessoas negras no processo seletivo.",GDT 7 - ENAPET 2019,"Que os Grupos PET, a partir do XXIV Enapet, promovam espaços de discussão interno antes do desligamento de petianos/as, a fim de evitar decisões arbitrárias e/ou precipitadas por parte do/a petiano/a tutor/a.",0.21564019011539443
GDT 7 - ENAPET 2019,"Que os Grupos PET, a partir do XXIV Enapet, promovam espaços de discussão interno antes do desligamento de petianos/as, a fim de evitar decisões arbitrárias e/ou precipitadas por parte do/a petiano/a tutor/a.",GT 6 - ENAPET 2018,"Que os grupos PET, a partir da divulgação da ata do XXIII ENAPET, promovam espaços de discussão sobre a implementação de políticas de ações afirmativas para pessoas negras no processo seletivo.",0.21564019011539443
GDT 5: Acessibilidade no PET: existe? - ENAPET 2022,"GDT 5 (Encaminhamento 2): Que a Diretoria do CENAPET, após a aprovação na Assembleia do ENAPET 2022, por meio de ofício, solicite às Instituições de Ensino Superior (IES) que, em conjunto com a CLAA, contemplem as necessidades das pessoas com deficiências em eventos dos grupos PET para viabilizar a acessibilidade e promover a inclusão em suas atividades a partir de 2023. 56 pessoas presentes - Aprovado 69%",Carta GDP 07 - ENAPET 2020,"Acessibilidade Socioeconômica e de Pessoas com Deficiência

AOS GRUPOS PETs BRASIL,
Sobre acessibilidade socioeconômica e de pessoas com deficiencia

Quando pautamos a acessibilidade, seja ela socioeconomica ou de pessoas com deficiencia ou surdas, deve-se atentar para que - além de buscar conhecimento sobre a temática para embasar nossas ações, as açoes de inclusão desses públicos sejam efetivas e acolhedoras. No XXV ENAPET, na ocasião do GDT 07 - Acessibilidade Socioeconômica e de Pessoas com Deficiência ou surdas, realizado nos dias 22 e 29 de novembro de 2020, os congressistas participantes discutiram sobre essa temática dentro da realidade dos grupos PET. Esta carta tem o objetivo de chamar a atenção do Programa de Educaçao Tutorial para o assunto a fim de sensibilizar o olhar para a importância de debater a acessibilidade e também de buscar maneiras para que a inclusão seja, de fato, efetiva. 

Quando falamos sobre acessibilidade de pessoas com deficiência ou surdas, precisamos levar em conta algumas informaçoes importantes, que contextualizam a tematica. De acordo com a Organização Mundial da Saúde (OMS), 10% da população mundial possui algum tipo de deficiência. No Brasil, de acordo com o IBGE (2010), a porcentagem chega a 23,9%. Sao 45.606.048 pessoas. Muitas vezes, esse público não ocupa os espaços sociais, dentre eles a universidade. Isso porque, na maioria das vezes, os espaços não são acessíveis, e, logo, não são acolhedores. A acessibilidade é “a possibilidade e condiçao de alcance para utilizaçao, com segurança e autonomia, de espaços, mobiliários, equipamentos urbanos, edificaçõees, transportes, informação e comunicaçao” (Lei no 13.146, de 06 de julho de 2015). Romeu Sassaki define seis dimensões da acessibilidade, que levam em conta os tipos de barreiras: 1) a física ou arquitetonica; 2) a atitudinal; 3) a instrumental; 4) a comunicacional; 5) a metodológica; e 6) a programática. 

Falar sobre acessibilidade para pessoas com deficiência ou surdas dentro dos nossos grupos PET é essencial, visto que, se nossos espaços e grupos nao são acessíveis, não estaremos promovendo o acolhimento e a permanência desses grupos, muitas vezes excluídos e esquecidos. A importancia de pautar a acessibilidade dentro das praticas dos nossos grupos esta tambem na ampliaçao da possibilidade de convivencia com existencias plurais, da compreensao do proximo e da troca de vivencias. O papel do PET tambem é este: possibilitar oportunidades de aprendizado, de crescimento e de mudança social. O PET, segundo o artigo 2o inciso VIII da portaria 343 de 2013 do MEC, tem por dever trabalhar em prol da diversidade na Instituição de Ensino Superior (IES). Desta forma, discussoes pautadas nas tematicas da acessibilidade de pessoas com deficiencia ou surdas e acessibilidade de pessoas em situaçao de vulnerabilidade socioeconomica sao inerentes `as nossas proprias diretrizes. Tais debates ampliam a nossa visao de mundo e por meio do contato com a vivencia, a historia e os anseios desses grupos, podemos buscar maneiras de melhor acolhe-los, o que resulta em uma evoluçao no ensino e na qualidade da interaçao dos(as) petianos(as) para com os discentes.

De maneira complementar, hoje as IESs nao podem ser consideradas como totalmente acessıveis, pois dispoem de varias barreiras que afastam ou segregam as pessoas com deficiencia ou surdas. Assim, ao considerar o PET como um programa pautado na ideia de responsabilidade e funçao social da educaçao, deve-se buscar maneiras para melhorar a qualidade de ensino aos discentes. E necessario iniciar o debate sobre a acessibilidade, os anseios e  expectativas das pessoas com deficiencia ou surdas, de modo a transformar o PET atraves das crıticas, reflexoes e projetos advindos dessas conversas, em um ambiente acolhedor e, na medida do possıvel, acessıvel. Assim o PET se reafirma como um grupo plural e de caracter cidadao e permite que novas vivencias experiencias o enriqueçam. Alem disso, ao se tornar um grupo que proporciona a chance de ingresso e acolhimento das pessoas com deficiencia ou surdas, proporciona uma melhor formaçao profissional e academica para elas ao mesmo tempo em que apoia sua luta. Deve-se pensar, tambem, no outro aspecto da acessibilidade, que leva em conta a realidade de pessoas em situaçao de vulnerabilidade social. O sistema de cotas para estudantes de baixa renda, ou ate mesmo para estudantes de escola publica, possibilita que o ingresso de pessoas em vulnerabilidade socioeconomica seja facilitado. No entanto, deve-se levar em conta tambem a permanencia destas pessoas dentro da universidade. O papel do PET tambem deve ser no sentido de oportunizar a formação dos discentes e auxiliar na permanencia deles na universidade, seja por meio das bolsas ou de projetos que levem em conta esse publico (inclusive projetos de extensao que sao feitos em escolas).

A qualidade do ensino publico brasileiro é delicada, como podemos observar em um estudo denominado “Excelencia com equidade no ensino medio” (Fundaçao Lemann, Itau BBA, Interdisciplinaridade e Evidencias no Debate Educacional (Iede), e Instituto Unibanco), que analisou 5.042 escolas publicas que atendem alunos de vulnerabilidade socioeconomica, e apontou que apenas 2% delas dispoem de uma boa qualidade de ensino. Porem, ainda nao alcançaram a media de 600 pontos nas avaliaçoes objetivas do ENEM. Em muitos casos, essas situaçoes sao agravadas com a necessidade de trabalhar enquanto estuda para complementar ou suprir a renda. Portanto, diante dessas dificuldades, muitos desistem da possibilidade da graduaçao, o que é grave por que a formaçao superior é cada vez mais necessaria a fim de lutar por um espaço no mercado de trabalho. No ensino superior, essas dificuldades se perpetuam, pois se torna desgastante a rotina de trabalho atrelada `as demandas e cobranças universitarias. Por muitas vezes os horarios de trabalho e as cargas horarias das disciplinas nao se encaixam e a pessoa acaba por desistir de um deles. Isso, somado as lacunas deixadas pelo ensino medio e o preconceito enfrentado por essas pessoas, configura grandes desafios para a permanencia desses discentes.

Deste modo o PET, como um espaco plural, deve promover discussoes e debates para achar alternativas para a melhora da qualidade do ensino. Alem disso,  é necessario um incentivo para que essas pessoas entrem nos nossos grupos de modo que consigam utilizar a bolsa como maneira de complementar a renda e ao mesmo tempo incrementar sua formaçao academica e profissional, usufruindo das diversas oportunidades de crescimento oferecidas
pelo PET.

O PET é um programa que oportuniza a formaçao e o preparo para o mercado de trabalho. No entanto, o Programa é um espaço pouco plural quando o assunto é deficiencia, e mesmo quando falamos de acessibilidade socioeconomica. Pensar em acessibilidade requer pensar em açoes para que esta seja, de fato, efetiva e gerem resultados. Dentro dos grupos PET, pode-se pensar em editais com cotas que levem em conta pessoas com deficiencia ou surdas e pessoas em situaçao de vulnerabilidade socioeconomica (alem de outras minorias, como pessoas negras e LGBTQIA+). Alem disso, deve-se atentar para o incentivo na participaçao das atividades de ensino, pesquisa e extensao que o PET oferece, alem do incentivo para a participaçao destes publicos no proprio PET. Nao podemos somente esperar que estes publicos venham ate nos, mas pensar em maneiras de incentivo a essa participaçao, seja por meio da pauta destes assuntos em nossas atividades e açoes, seja por meio da busca dessas pessoas para troca de ideias.

Alem disso, pensar a acessibilidade dentro dos eventos do PET, sejam eles a nıvel institucional, local, estadual, regional ou nacional, é muito importante para pautar a acessibilidade e garantir um evento mais inclusivo. Sobre eventos acess ́ıveis dentro dos grupos PETs temos, como exemplo, o IPETCHE que aconteceu em Santa Maria, no Rio Grande do Sul e o XXV ENAPET que aconteceu em Curitiba, no Paraná. Sim, precisamos avançar ainda mais quando o assunto  ́e acessibilidade socioeconomico e de pessoas com deficiencias, surdas ou mobilidade reduzida, mas esses eventos servem como base para a continuidade e a ampliaçao de açoes efetivas.

E essencial planejar e conhecer as necessidades para que um evento seja acessıvel, conhecer o publico que integrará esse evento, reservar lotes para pessoas em situaçao de vulnerabilidade socioeconomica - nesta questao é essencial o planejamento ao calcular os custos do evento pensando na inclusao desse publico. Alem disso, para pessoas com deficiencia ou surdas, a divulgaçao do evento deve ser feita de forma acessıvel, com descriçao de imagens e legenda nos vıdeos, autodescriçao de pessoas que se manifestam no evento e busca de interpretes de LIBRAS. Claro que existem muitos outros aspectos para garantir a acessibilidade de um evento, mas estes sao alguns exemplos interessantes que devem ser levados em conta.

Diante destas questoes, urgem mudanças para que o PET se torne um espaço mais inclusivo e acolhedor. Situaçoes de preconceitos, discriminaçao e rejeiçao ainda permeiam a sociedade. Em pleno seculo XXI, presenciamos constantemente momentos que nos fazem questionar se realmente saımos das eras remotas, para nos determinarmos como avan ̧cados. Os nossos ancestrais mataram brutalmente as pessoas com deficiˆencia ou surdas. Tanto na era crista quanto no Iluminismo os corpos deficientes eram considerados indesejados A medicina os trata como ‘imperfeitos’ e ‘insuficientes’. A presença, a movimentaçao e o acesso das pessoas com deficiencia ou surdas nos espaços geograficos sao limitados e escassos. Isso denuncia o nosso atraso e a improficiência.

Declara-los como imperfeitos é negar suas existencias e coloca-los no limbo da sociedade. Discutir sobre a acessibilidade nos faz compreender as diferenças presentes em nosso meio para que possamos, desse modo, buscar açoes que diminuam as desigualdades e nos façam reconhecer suas eficiencias. A estrutura social oprime os corpos. Sendo assim, necessitamos buscar reflexoes e lutar juntos para a emancipaçao de todas as pessoas oprimidas. Pois, enquanto houver espaço, corpo e 
tempo, como dizia Belchior, esperanças devem ser nutridas.

Nos, petianas e petianos, tutoras e tutores, temos uma tarefa primordial a ser cumprida: pensar sobre as barreiras que impedem as pessoas com deficiencia ou surdas de ingressar no programa; para alem disso, desenvolver atividades, pesquisas, seminarios e etc. sobre assuntos que tratam a respeito da tematica. A omissao precisa deixar de existir. E necessario construir pontes de apoio, de empatia, de diversidade e diferenças, a fim de combater ignorancias que transbordam em nossas consciencias e em nossos atos. O corpo deficiente, mesmo calado, nao silencia. Ao contrario, escancara para os olhos e ouvidos mal-educados as fissuras da existencia (LIMA; MENDES, 2018, p. 142).
Atenciosamente, GDT 07 - Acessibilidade Socioeconomica e de Pessoas com Deficiencia XXV ENAPET - Curitiba, PR.

Aprovada na assembleia sıncrona
(Votos: 158. Favoravel: 83%; 2a opçao mais votada - Abstençao: 13% )",0.21559716337425902
GDT 7 - ENAPET 2019,"Que a partir do XXIV ENAPET, antes do desligamento de qualquer petiano, seja obrigatório o direito de defesa do mesmo perante o CLAA, para evitar desligamentos arbitrários.",GDT 12 - ENAPET 2018,"Que a diretoria da CENAPET, em até dois meses após o ENAPET 2018, crie um grupo de trabalho para definir um procedimento de desligamento do petiano e petiana, que esteja se desligando voluntariamente ou não, de forma a respeitar a horizontalidade, o diálogo e respeito à integridade pessoal do/a petiano/a em processo de desligamento e evitar qualquer caso de desligamento repentino e arbitrário. O grupo de trabalho deve ter petianos e petianas de todas as regiões do país e poderão se reunir através de tecnologias e ferramentas on-line (video-conferência, lista de e-mail, nuvem e mensagens instantâneas",0.21392334638655533
GDT 12 - ENAPET 2018,"Que a diretoria da CENAPET, em até dois meses após o ENAPET 2018, crie um grupo de trabalho para definir um procedimento de desligamento do petiano e petiana, que esteja se desligando voluntariamente ou não, de forma a respeitar a horizontalidade, o diálogo e respeito à integridade pessoal do/a petiano/a em processo de desligamento e evitar qualquer caso de desligamento repentino e arbitrário. O grupo de trabalho deve ter petianos e petianas de todas as regiões do país e poderão se reunir através de tecnologias e ferramentas on-line (video-conferência, lista de e-mail, nuvem e mensagens instantâneas",GDT 7 - ENAPET 2019,"Que a partir do XXIV ENAPET, antes do desligamento de qualquer petiano, seja obrigatório o direito de defesa do mesmo perante o CLAA, para evitar desligamentos arbitrários.",0.21392334638655533
GDT 8 - ENAPET 2019,"Que a partir do final do XXIV ENAPET, as comissões organizadoras dos eventos regionais, estaduais e nacionais reservem um GDT para discussão de questões relativas ao Mobiliza PET.",GDT 1 - Construção de Eventos PET - ENAPET 2020,"Sugere-se que a partir do ENAPET 2020, as comissões organizadoras dos eventos regionais e nacionais do PET utilizem plataformas eletrônicas tais como TELEGRAM, Google Forms, Straw Poll, etc. eventos.",0.21313415859497076
GDT 17: Transparência de dados do programa - ENAPET 2020,"Que a diretoria da CENAPET adicione os PET Institucionais em seu website oficial na aba de apresentação em conjunto com grupos PET MEC, de modo a reconhecer a existência e a importância desses grupos PET como membros da Comunidade Petiana, após a aprovação na Assembleia Geral do ENAPET 2020.",GDT 22 + 23:Regimentos Internos: como os grupos PE - ENAPET 2022,"Encaminhamento 2: Que a CENAPET solicite ao MEC, após a Assembleia Geral
do ENAPET 2022, que realize a atualização do Manual de Orientações Básicas
(MOB) em conjunto com a comunidade petiana. Visto que as informações contidas
encontram-se defasadas, e é de significativa importância a participação da
comunidade petiana na construção de um manual de orientações que atenda a suas
demandas.
106 pessoas presentes - Aprovado 58%",0.2131074659900445
GDT 2 - Mobiliza PET e Visibilidade do Programa na - ENAPET 2020,"Que a partir de 2021 a Comissão Nacional, as Comissões regionais e os Comitês locais Mobiliza PET realizam eventos informativos e/ou formativos, de modo online por plataformas como YouTube ou Google Meet, aconteceram",GT 4 - ENAPET 2018,"Que a Comissão Nacional do Mobiliza PET e as Comissões Locais e Regionais realizem repasses entre si mensalmente, via plataformas que mantenham os mesmos registrados. Para que haja uma melhor divulgação e transparência das informações sobre questões que tangem o Mobiliza PET.",0.21215099279548535
GDT 15 - ENAPET 2020,"Que os grupos PET pautem em reuniao do CLAA a formulação de diretrizes gerais para que as comissoes de processos seletivos do PET possam nortear seus editais de seleção com base em criterios de pol ́ıticas p ́ublicas de Ações Afirmativas a partir de fevereiro de 2021, em concordância com a redação da Portaria MEC no 976, de 27 de julho de 2010, Art.2o, inciso VIII, dada pela Portaria MEC no 343, de 24 de abril de 2013, na qual se lˆe que  ́e objetivo dos grupos PET contribuir com a pol ́ıtica de diversidade na institui ̧c ̃ao de ensino superior por meio de a ̧c ̃oes afirmativas em defesa da equidade socioeconomica, ́etnico-racial e de gˆenero (ap ́os a realiza ̧c ̃ao do XXV ENAPET).",GT 6 - ENAPET 2018,"De acordo com o item VIII do artigo 2º da portaria nº 976/2010, incluído pela portaria nº 343/2013 do MEC sobre o PET é obrigatório ao programa “contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero”. Dessa forma, cabe ao CLAA garantir a inclusão de ao menos uma atividade coletiva que trabalhe questões de diversidade (gênero e orientação sexual, relações étnico-raciais, classe, religião, estética, deficiência física e intelectual, regionalismo/xenofobia, etc) no Planejamento Anual de Atividades, a partir de 2019, bem como fiscalizar a realização desta no Relatório Anual de Atividades.",0.20942323093097592
GDT 4 - Adaptação e Inclusão Social - ENAPET 2020,"Sugere-se que os grupos PET, através do CLAA, solicitem à IES (Instituição de Ensino Superior) a aquisição de recursos (mesas digitalizadoras, câmeras de vídeo, dispositivos de armazenamento, etc.), destinados à realização de atividades remotas dos grupos PET.",GT 4 - ENAPET 2018,"Que os representantes discentes e docentes do Comitê Local de Acompanhamento e Avaliação - CLAA, por meio de uma pauta de reunião, solicitem ao CLAA da sua Instituição de Ensino Superior - IES que este fiscalize e acompanhe a participação dos/as tutores/as em eventos regionais e nacionais a partir da aprovação no XXIII ENAPET.",0.20836118022790495
GDT3 - ENAPET 2019,"(Encaminhamento 3.33): Que uma Carta aberta sobre os encaminhamentos da implementação de cotas no processo seletivo dos Grupos PET seja construída para leitura durante a assembleia do XXIV ENAPET, tendo o intuito de informar tais pontos de pauta e repudiar a sua não implementação por alguns grupos PET. (Após aprovação do encaminhamento, foi feita a leitura de carta perante plenária);",GT 6 - ENAPET 2018,"Que os grupos PET, a partir da divulgação da ata do XXIII ENAPET, promovam espaços de discussão sobre a implementação de políticas de ações afirmativas para pessoas negras no processo seletivo.",0.20599134685051856
GDT 2 - ENAPET 2019,"Que a Diretoria da CENAPET solicite à SESu/MEC, na primeira reunião que a diretoria da CENAPET tiver com a SESu/MEC, após a publicação da Ata da Assembleia Geral do XXIV ENAPET 2019, a inclusão do inciso XVI, no artigo 11 da Portaria 343/2013, contendo o seguinte texto: “Que o interlocutor do PET e presidente do CLAA, designado pelas Pró-Reitorias de Graduação, ou órgãos equivalentes, tenha conhecimento do Programa, sendo preferencialmente um tutor, atuante ou egresso.”

#SESu/MEC #CENAPET #CLAA",GDT 13 - ENAPET 2018,"Que a diretoria da CENAPET solicite ao MEC a publicação de uma portaria que altere a portaria nº 976/2010 em relação ao artigo 13 “São atribuições do professor tutor” inciso I de “planejar e supervisionar as atividades do grupo e orientar os integrantes discentes” para “supervisionar, junto ao grupo PET, a proposição, organização, execução e avaliação das suas atividades e orientar os integrantes discentes” e o artigo 18 inciso II de “participar de todas as atividades programadas pelo professor tutor” para “participar de todas as atividades propostas pelo grupo PET, de acordo com o inciso I do artigo 13” dentro de um ano após aprovação em assembleia garantindo a horizontalidade dos grupos",0.2053423110169057
GDT 13 - ENAPET 2018,"Que a diretoria da CENAPET solicite ao MEC a publicação de uma portaria que altere a portaria nº 976/2010 em relação ao artigo 13 “São atribuições do professor tutor” inciso I de “planejar e supervisionar as atividades do grupo e orientar os integrantes discentes” para “supervisionar, junto ao grupo PET, a proposição, organização, execução e avaliação das suas atividades e orientar os integrantes discentes” e o artigo 18 inciso II de “participar de todas as atividades programadas pelo professor tutor” para “participar de todas as atividades propostas pelo grupo PET, de acordo com o inciso I do artigo 13” dentro de um ano após aprovação em assembleia garantindo a horizontalidade dos grupos",GDT 2 - ENAPET 2019,"Que a Diretoria da CENAPET solicite à SESu/MEC, na primeira reunião que a diretoria da CENAPET tiver com a SESu/MEC, após a publicação da Ata da Assembleia Geral do XXIV ENAPET 2019, a inclusão do inciso XVI, no artigo 11 da Portaria 343/2013, contendo o seguinte texto: “Que o interlocutor do PET e presidente do CLAA, designado pelas Pró-Reitorias de Graduação, ou órgãos equivalentes, tenha conhecimento do Programa, sendo preferencialmente um tutor, atuante ou egresso.”

#SESu/MEC #CENAPET #CLAA",0.2053423110169057
